,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
1593,GBP_ZAR,2023-08-03T06:00:00.000000000Z,3966,23.45410,23.51900,23.45150,23.51200,23.46180,23.52710,23.45925,23.52050,23.46950,23.53520,23.46700,23.52900,23.48631875,23.28023984375
1594,GBP_ZAR,2023-08-03T07:00:00.000000000Z,7087,23.50890,23.63750,23.48100,23.59800,23.51905,23.64465,23.48925,23.60525,23.52920,23.65230,23.49750,23.61250,23.50019375,23.29131796875
1595,GBP_ZAR,2023-08-03T08:00:00.000000000Z,7648,23.59800,23.67600,23.58500,23.67410,23.60550,23.68260,23.59085,23.68030,23.61300,23.69000,23.59650,23.68650,23.5243875,23.303225
1596,GBP_ZAR,2023-07-11T17:00:00.000000000Z,4081,23.95960,23.96496,23.93660,23.94730,23.96550,23.97158,23.94360,23.95340,23.97140,23.97890,23.94980,23.95950,23.58478125,23.319190625
1597,GBP_ZAR,2023-07-11T18:00:00.000000000Z,3809,23.94709,23.95406,23.91560,23.92420,23.95330,23.96140,23.92205,23.93112,23.95950,23.96901,23.92800,23.93803,23.64035875,23.335058125
1598,GBP_ZAR,2023-07-11T19:00:00.000000000Z,3607,23.92420,23.93040,23.90350,23.91220,23.93152,23.93700,23.91075,23.91956,23.93884,23.94428,23.91700,23.92691,23.69530375,23.350247343750002
1599,GBP_ZAR,2023-07-11T20:00:00.000000000Z,2391,23.91220,23.91240,23.88566,23.89950,23.91830,23.91950,23.89515,23.90925,23.92440,23.92680,23.90220,23.91900,23.74761625,23.36544265625
1600,GBP_ZAR,2023-07-11T21:00:00.000000000Z,37,23.90450,23.90600,23.89550,23.89950,23.94875,23.94875,23.93375,23.93925,23.99300,23.99350,23.96600,23.97900,23.80732875,23.381669218749998
1601,GBP_ZAR,2023-07-11T22:00:00.000000000Z,491,23.91800,23.93700,23.87914,23.90200,23.95300,23.95950,23.90089,23.91850,23.98800,24.00740,23.90728,23.93501,23.85707875,23.39691140625
1602,GBP_ZAR,2023-07-11T23:00:00.000000000Z,433,23.90350,23.90900,23.89094,23.89094,23.91926,23.91976,23.90328,23.90328,23.93501,23.93509,23.91535,23.91561,23.894332499999997,23.4121071875
1603,GBP_ZAR,2023-07-12T00:00:00.000000000Z,3622,23.89221,23.89550,23.84850,23.87550,23.90358,23.90532,23.85595,23.88378,23.91495,23.91605,23.86340,23.89206,23.9197675,23.426900625000002
1604,GBP_ZAR,2023-07-12T01:00:00.000000000Z,1453,23.87500,23.89678,23.85565,23.86050,23.88353,23.90688,23.86627,23.87066,23.89206,23.91698,23.87689,23.88082,23.909425000000002,23.441356250000002
1605,GBP_ZAR,2023-07-12T02:00:00.000000000Z,1127,23.86006,23.88285,23.85365,23.86450,23.87044,23.89343,23.86339,23.87418,23.88082,23.90450,23.87275,23.88386,23.9023075,23.45526921875
1606,GBP_ZAR,2023-07-12T03:00:00.000000000Z,885,23.86373,23.89020,23.85911,23.88481,23.87380,23.90086,23.86839,23.89316,23.88386,23.91263,23.87600,23.90150,23.8990075,23.469537343749998
1607,GBP_ZAR,2023-07-12T04:00:00.000000000Z,1729,23.88481,23.89151,23.86689,23.87600,23.89366,23.89824,23.87785,23.88600,23.90250,23.90999,23.88850,23.89600,23.896101249999997,23.48344359375
1608,GBP_ZAR,2023-07-12T05:00:00.000000000Z,3323,23.87550,23.93280,23.87310,23.93100,23.88600,23.94290,23.88225,23.94205,23.89650,23.95310,23.89100,23.95310,23.89645125,23.49867875
1609,GBP_ZAR,2023-07-12T06:00:00.000000000Z,5078,23.93278,23.96650,23.91588,23.93406,23.94113,23.97397,23.92263,23.94066,23.94948,23.98144,23.92909,23.94727,23.89922125,23.5137203125
1610,GBP_ZAR,2023-07-12T07:00:00.000000000Z,7049,23.93350,23.96902,23.86650,23.88450,23.94014,23.97558,23.87300,23.88985,23.94678,23.98226,23.87897,23.89520,23.8975425,23.52788984375
1611,GBP_ZAR,2023-07-12T08:00:00.000000000Z,6441,23.88400,23.92850,23.85330,23.91210,23.88960,23.93515,23.85946,23.91862,23.89520,23.94180,23.86508,23.92515,23.9018975,23.540333125
1612,GBP_ZAR,2023-07-12T09:00:00.000000000Z,6334,23.91210,23.92700,23.86075,23.86730,23.91880,23.93254,23.86636,23.87335,23.92549,23.93862,23.87160,23.87940,23.90223375,23.5522925
